node_id,lat,lon
210,-37.66414260864258,144.5947723388672
211,-37.664207458496094,144.5956268310547
212,-37.66357421875,144.59609985351562
213,-37.66347122192383,144.59620666503906
214,-37.66340255737305,144.59640502929688
215,-37.66337966918945,144.5965576171875
216,-37.663394927978516,144.59671020507812
217,-37.6634407043457,144.5969696044922
218,-37.66355514526367,144.59744262695312
219,-37.66360855102539,144.59774780273438
220,-37.66371536254883,144.59864807128906
221,-37.66372299194336,144.59872436523438
222,-37.664344787597656,144.59559631347656
223,-37.666080474853516,144.59532165527344
224,-37.66625213623047,144.59530639648438
225,-37.697383880615234,144.60348510742188
226,-37.69736862182617,144.60340881347656
227,-37.697364807128906,144.6033935546875
228,-37.697349548339844,144.60333251953125
229,-37.697322845458984,144.603271484375
230,-37.69729232788086,144.6032257080078
231,-37.69715118408203,144.6030731201172
232,-37.69698715209961,144.60287475585938
233,-37.69220733642578,144.5480499267578
234,-37.69209671020508,144.5481414794922
235,-37.69206237792969,144.5481719970703
236,-37.69197463989258,144.54824829101562
237,-37.704891204833984,144.54824829101562
238,-37.70482635498047,144.5482635498047
239,-37.70362854003906,144.54844665527344
240,-37.70356750488281,144.5484619140625
241,-37.703060150146484,144.5485382080078
242,-37.70283508300781,144.5485382080078
243,-37.702606201171875,144.5484619140625
244,-37.702423095703125,144.54833984375
245,-37.70226287841797,144.54818725585938
246,-37.7021484375,144.548095703125
247,-37.702003479003906,144.5480499267578
248,-37.70185852050781,144.54808044433594
249,-37.70151901245117,144.5481414794922
250,-37.68399429321289,144.58352661132812
251,-37.68385314941406,144.58560180664062
252,-37.68385314941406,144.5856475830078
253,-37.683841705322266,144.5858154296875
254,-37.72272872924805,144.61753845214844
255,-37.72271728515625,144.6173095703125
256,-37.722476959228516,144.6151580810547
257,-37.7223014831543,144.6136016845703
258,-37.7220344543457,144.6112823486328
259,-37.739437103271484,144.63308715820312
260,-37.73891830444336,144.63316345214844
261,-37.7369384765625,144.63345336914062
262,-37.73622131347656,144.633544921875
263,-37.73601531982422,144.63357543945312
264,-37.73443603515625,144.6337890625
265,-37.73320770263672,144.6339874267578
266,-37.732723236083984,144.634033203125
267,-37.73234939575195,144.6340789794922
268,-37.73199462890625,144.6341094970703
269,-37.731773376464844,144.63414001464844
270,-37.73135757446289,144.63421630859375
271,-37.73099899291992,144.63429260253906
272,-37.72676086425781,144.63502502441406
273,-37.72491455078125,144.63531494140625
274,-37.723575592041016,144.63552856445312
275,-37.736778259277344,144.55027770996094
276,-37.73556900024414,144.55047607421875
277,-37.73054122924805,144.55136108398438
278,-37.705474853515625,144.6385498046875
279,-37.71327590942383,144.63722229003906
280,-37.71329879760742,144.63722229003906
281,-37.68241500854492,144.6168670654297
282,-37.68248748779297,144.6156768798828
283,-37.682525634765625,144.61492919921875
284,-37.685394287109375,144.6069793701172
285,-37.68547821044922,144.6068878173828
286,-37.68553924560547,144.60679626464844
287,-37.685646057128906,144.60665893554688
288,-37.68577194213867,144.60655212402344
289,-37.68589401245117,144.60646057128906
290,-37.68601608276367,144.60638427734375
291,-37.691795349121094,144.60470581054688
292,-37.69195556640625,144.60464477539062
293,-37.692142486572266,144.60458374023438
294,-37.69224548339844,144.60455322265625
295,-37.69272994995117,144.60450744628906
296,-37.692806243896484,144.60450744628906
297,-37.692867279052734,144.60450744628906
298,-37.69293212890625,144.60452270507812
299,-37.6929931640625,144.60452270507812
300,-37.69306564331055,144.60455322265625
301,-37.69312286376953,144.6045684814453
302,-37.693180084228516,144.60458374023438
303,-37.693233489990234,144.6046142578125
304,-37.69329833984375,144.60464477539062
305,-37.69336700439453,144.6046905517578
306,-37.69344711303711,144.604736328125
307,-37.69353485107422,144.6048126220703
308,-37.69368362426758,144.6049041748047
309,-37.690521240234375,144.6046600341797
310,-37.690399169921875,144.60470581054688
311,-37.69015121459961,144.6048583984375
312,-37.6899299621582,144.60494995117188
313,-37.68968200683594,144.6050567626953
314,-37.68954849243164,144.6051025390625
315,-37.68489074707031,144.6065216064453
316,-37.6846809387207,144.60678100585938
317,-37.68457794189453,144.6068878173828
318,-37.68410110473633,144.60745239257812
319,-37.68484878540039,144.60662841796875
320,-37.68484115600586,144.60675048828125
321,-37.68485641479492,144.60687255859375
322,-37.68490219116211,144.6069793701172
323,-37.684974670410156,144.6070556640625
324,-37.68505859375,144.60711669921875
325,-37.686771392822266,144.5990753173828
